Station,Fork.,Selskab,Status,Strækning,Bemærkninger
Horne,Hon,Nordjyske Jernbaner,P,Hj-Hhs,Trinbræt
Horneby Sand,Hsa,Lokaltog A/S,P,Hg-Gll,Trinbræt
Horsens,Hs,Banedanmark,P,Fa-Ar,Station
Hovedgård,Hå,Banedanmark,÷ P,Fa-Ar,Station
Hulsig,Hul,Nordjyske Jernbaner,P,Fh-Sgb,Station
Humlebæk,Hum,Banedanmark,P,Kh-Hg,Trinbræt
Humlum,Um,Banedanmark,P,Str-Ti,Trinbræt
Hundested,Hun,Lokaltog A/S,P,Hi-Hun,Station
Hundested Havn,Huh,Lokaltog A/S,P,I Hun,Trinbræt
Hundige,Und,Banedanmark,P,Kh (nær)-Kj (nær),Station
Hurup Thy,Ur,Banedanmark,P,Str-Ti,Station
Husum,Hut,Banedanmark,P,Val (nær)-Fs,Trinbræt
Hvalsø,Hv,Banedanmark,P,Ro-Kb,Station
Hvidbjerg,Hw,Banedanmark,P,Str-Ti,Station
Hviding,Vd,Banedanmark,P,Bm-Tdgr,Trinbræt
Hvidovre,Hit,Banedanmark,P,Kh (nær)-Htå (nær),Trinbræt
Hvidovre Fjern,Hif,Banedanmark,÷ P,Kh-Fa/Tl, Kh/Hif-Phm,Station
Hyllerslev,Hy,VNJ,P,Va-Nbl,Trinbræt
Højby,Høs,Banedanmark,P,Od-Svg,Station
Højby Sj.,Hy,Lokaltog A/S,P,Hk-Nk,Station
Høje Taastrup,Htå,Banedanmark,P,Kh-Fa/Tl,Station
Høje Taastrup (nær),Htå,Banedanmark,P,Kh (nær)-Htå (nær),Station
Højslev,Hø,Banedanmark,P,Lg-Str,Station
Højstrup,Høp,Lokaltog A/S,P,Hg-Gll,Station
Høng,Øn,Lokaltog A/S,P,Tø-Sg, Øn-Gv,Station
Hørdum,Hæ,Banedanmark,P,Str-Ti,Trinbræt
Hørning,Hx,Banedanmark,P,Fa-Ar,Station
Hørve,Hr,Lokaltog A/S,P,Hk-Nk,Station
Høvelte,Høv,Banedanmark,P,Gj-Hi,Trinbræt
Hårlev,Hrl,Lokaltog A/S,P,Hrl-Rdg, Kj-Fxl,Station
Ikast,Ik,Banedanmark,P,Sd-Sj,Station
Ishøj,Ih,Banedanmark,P,Kh (nær)-Kj (nær),Trinbræt
Islev,Ist,Banedanmark,P,Val (nær)-Fs,Trinbræt
Janderup,Ja,VNJ,P,Va-Nbl,Station
Jegum,Je,VNJ,P,Va-Nbl,Trinbræt
Jelling,Jl,Banedanmark,P,Ho-Vj,Station
Jernbanebroen over Limfjorden,Lfm,Banedanmark,÷ P,Ab-Fh,Oplukkelig bro
Jersie,Jsi,Banedanmark,P,Kh (nær)-Kj (nær),Trinbræt
Jerup,Jeu,Nordjyske Jernbaner,P,Fh-Sgb,Station
Jyderup,Jy,Banedanmark,P,Ro-Kb,Station
Jyllingevej,Jyt,Banedanmark,P,Val (nær)-Fs,Trinbræt
Jægersborg,Jæt,Banedanmark,P,Gj-Hi,Trinbræt
Jægersborg (Nærumbanen),Jæt,Lokaltog A/S,P,Jæt-Nær,Station
Kagerup,Kgg,Lokaltog A/S,P,Hi-Tvl, Kgg-Gll,Station
Kalundborg,Kb,Banedanmark,P,Ro-Kb,Station
Kalvebod,Klv,Banedanmark,÷ P,Kh/Hif-Phm,Station
Karinebæk,Kab,Lokaltog A/S,P,Hg-Gll,Trinbræt
Karise,Kri,Lokaltog A/S,P,Kj-Fxl,Station
Karlslunde,Klu,Banedanmark,P,Kh (nær)-Kj (nær),Trinbræt
Kauslunde,Ka,Banedanmark,P,Kh-Fa/Tl,Station
KB Hallen,Kbn,Banedanmark,P,Ig (nær)-Hl (nær),Trinbræt
Kibæk,Kæ,Banedanmark,P,Sd-Sj,Station
Kildebakke,Ket,Banedanmark,P,Sam (nær)-Fm,Trinbræt
Kildedal,Kid,Banedanmark,P,Val (nær)-Fs,Trinbræt
Kildekrog,Kil,Lokaltog A/S,P,Hg-Gll,Trinbræt
Kirke Eskilstrup,Kek,Lokaltog A/S,P,Tø-Sg,Station
Klampenborg,Kl,Banedanmark,P,Kh-Hg,Station
Klampenborg (nær),Kl,Banedanmark,P,Hl (nær)-Kl (nær),Station
Klinkby,Kli,Midtjyske Jernbaner,P,Vem-Thb,Trinbræt
Kliplev,Kw,Banedanmark,P,Sdb-Te,Trinbræt
Klippinge,Klp,Lokaltog A/S,P,Hrl-Rdg,Station
Knabstrup,Ks,Banedanmark,P,Ro-Kb,Trinbræt
Kokkedal,Ok,Banedanmark,P,Kh-Hg,Trinbræt
Kolding,Kd,Banedanmark,P,Fa-Pa,Station
Kong Frederik den IX's bro,-,Banedanmark,÷ P,Rg-Rf,Oplukkelig bro
Korsør,Kø,Banedanmark,P,Kh-Fa/Tl,Station
Kratbjerg,Krb,Lokaltog A/S,P,Hi-Sq,Trinbræt
Kregme,Krf,Lokaltog A/S,Krf,Hi-Hun,Station
Kvissel,Kv,Banedanmark,P,Ab-Fh,Station
Kvistgård,Kå,Lokaltog A/S,P,Hi-Sq,Trinbræt
Kvægtorvet,Kvæ,Nordjyske Jernbaner,P,Hj-Hhs,Trinbræt
Kværkeby,Ky,Banedanmark,÷ P,Kh-Fa/Tl,Station
Kværndrup,Kvs,Banedanmark,P,Od-Svg,Station
København G,Gb,Banedanmark,÷ P,Kh-Ig,Station
København H,Kh,Banedanmark,P,Kh-Fa/Tl, Kh-Ig, Kh-Hg, Kh/Hif-Phm,Station
København H (nær),Kh,Banedanmark,P,Kh (nær)-Htå (nær), Kh (nær)-Gj, Kh (nær)-Kj (nær),Station
Københavns Lufthavn Kastrup,Cph,Banedanmark,P,Kh/Hif-Phm,Station
Køge,Kj,Banedanmark,P,Ro-Kj-Næ, Kj-Fxl,Station
Køge (nær),Kj,Banedanmark,P,Kh (nær)-Kj (nær),Station
Køge Nord,Kjn,Banedanmark,÷ P,Ro-Kj-Næ,Sidespor på fri bane
Kølkær,Ke,Banedanmark,÷ P,Ho-Vj,Station
Langerød,Lrt,Lokaltog A/S,P,Hi-Sq,Trinbræt
Langeskov,Lv,Banedanmark,P,Kh-Fa/Tl,Trinbræt
Langgade,Vat,Banedanmark,P,Val (nær)-Fs,Trinbræt
Langå,Lg,Banedanmark,P,Ar-Ab, Lg-Str,Station
Laugø,Løg,Lokaltog A/S,P,Hi-Tvl,Trinbræt
Laven,La,Banedanmark,P,Sd-Sj,Station
Lejre,Lj,Banedanmark,P,Ro-Kb,Station
Lem,Lm,Banedanmark,P,Es-Str,Station
Lemvig,Lmv,Midtjyske Jernbaner,P,Vem-Thb,Station
Lersøen,Ler,Banedanmark,÷ P,Ler-Kk,Station
Lille Kregme,Llk,Lokaltog A/S,P,Hi-Hun,Trinbræt
Lille Linde,Lli,Lokaltog A/S,P,Kj-Fxl,Trinbræt
Lille Skensved,Lw,Banedanmark,P,Ro-Kj-Næ,Station
Lilleheden,Lhe,Nordjyske Jernbaner,P,Hj-Hhs,Trinbræt
Lindholm,Lih,Banedanmark,P,Ab-Fh,Station
